,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
200,22,4.0,0.4,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
201,22,100.0,12.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
202,22,100.0,10.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
203,22,9.999999999999998,1.1999999999999995,1.9999999999999996,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
204,22,200.0,20.0,3.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
205,22,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
206,22,312.0,31.200000000000006,32.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
207,22,13.0,1.3,4.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
208,22,5.0,0.5,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
209,22,12.0,1.44,5.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
210,22,51.0,5.1000000000000005,17.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
211,22,25.0,2.5,1.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
212,22,37.0,3.7,2.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
213,22,5.0,0.5,1.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
214,22,5.0,0.6,0.9999999999999998,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
215,22,10.0,1.2,2.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
216,22,55.0,5.5,20.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
217,22,2.0,0.2,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
218,22,205.0,24.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
219,22,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
220,22,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
