age,handle,revenue,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
51,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
42,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
43,205.0,6.15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
58,96.0,6.7200000000000015,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
47,200.0,14.000000000000002,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
65,35.0,2.45,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
35,10.0,0.8,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
27,21.0,0.63,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
24,215.0,21.5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
41,829.0,58.03000000000001,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
52,107.0,12.84,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
18,220.0,17.6,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
18,15.0,1.7999999999999998,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
23,40.0,4.8,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
65,105.0,7.35,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
57,4.999999999999999,0.5499999999999999,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
35,205.0,16.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
56,222.0,15.54,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
53,200.0,6.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
43,25.0,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
25,38.0,4.56,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
40,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
40,74.0,2.22,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
48,542.0,65.03999999999999,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
32,150.0,15.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
56,25.0,3.0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
36,7.0,0.56,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
33,33.0,0.99,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
46,100.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
55,14.0,0.42,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
32,60.0,4.2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
21,447.0,31.290000000000006,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
25,10.0,0.7000000000000001,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
36,80.0,6.4,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
32,5.0,0.4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
23,2216.0,177.28,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
18,19.0,2.28,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
56,20.0,1.4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
52,265.0,18.55,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
51,266.0,18.62,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
55,52.0,5.2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
22,3011.0,240.88,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
41,2.0,0.06,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
27,5.0,0.6,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
23,122.0,9.76,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
21,180.0,19.8,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
36,307.0,9.21,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
